id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
29196,29196,Plouguin,PLOUGUIN,-4.59253722064995,48.52893177142397,242900553,Communauté de communes du Pays des Abers,29178,Ploudalmézeau,5302,Brest,291,Brest,29,2025-06-26 23:12:37.403555,,,1943-01-01,,,,,
29197,29197,Plouhinec,PLOUHINEC,-4.485643087067302,48.01422497716378,242900629,Communauté de communes Cap Sizun - Pointe du Raz,29197,Plouhinec,5313,Quimper,294,Quimper,29,2025-06-26 23:12:09.975808,,,1943-01-01,,,,,
29198,29198,Plouider,PLOUIDER,-4.292688631353239,48.60173080383026,242900793,Communauté de communes Communauté Lesneven Côte des Légendes,29124,Lesneven,5302,Brest,291,Brest,29,2025-06-26 23:12:00.808518,,,1943-01-01,,,,,
29199,29199,Plouigneau,PLOUIGNEAU,-3.7022173257478004,48.573288334214574,242900835,Communauté d'agglomération Morlaix Communauté,29199,Plouigneau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:57.674567,,,1943-01-01,,,,,
29201,29201,Ploumoguer,PLOUMOGUER,-4.7156916568369915,48.399747522204194,242900074,Communauté de communes du Pays d'Iroise,29260,Saint-Renan,5302,Brest,291,Brest,29,2025-06-26 23:12:59.845316,,,1943-01-01,,,,,
29202,29202,Plounéour-Ménez,PLOUNEOUR MENEZ,-3.880784141740709,48.445728599425294,242900835,Communauté d'agglomération Morlaix Communauté,29151,Morlaix,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:38.833042,,,1943-01-01,,,,,
29204,29204,Plounéventer,PLOUNEVENTER,-4.208926150301143,48.52090400762538,242900751,Communauté de communes du Pays de Landivisiau,29103,Landerneau,5302,Brest,293,Morlaix,29,2025-06-26 23:12:59.847312,,,1943-01-01,,,,,
29205,29205,Plounévézel,PLOUNEVEZEL,-3.5746428155867402,48.31210933780184,242900744,Communauté de communes Poher communauté,29024,Carhaix-Plouguer,5303,Carhaix-Plouguer,292,Châteaulin,29,2025-06-26 23:12:24.626566,,,1943-01-01,,,,,
29206,29206,Plounévez-Lochrist,PLOUNEVEZ LOCHRIST,-4.198631647478574,48.61968595038901,200067072,Communauté de communes Haut-Léon Communauté,29124,Lesneven,5310,Morlaix,293,Morlaix,29,2025-06-26 23:12:09.977825,,,1943-01-01,,,,,
29208,29208,Plourin,PLOURIN,-4.684618749946053,48.50303220900116,242900074,Communauté de communes du Pays d'Iroise,29178,Ploudalmézeau,5302,Brest,291,Brest,29,2025-06-26 23:12:23.581961,,,1943-01-01,,,,,
29209,29209,Plouvien,PLOUVIEN,-4.465365617310316,48.53947170215487,242900553,Communauté de communes du Pays des Abers,29160,Plabennec,5302,Brest,291,Brest,29,2025-06-26 23:12:28.775528,,,1943-01-01,,,,,
29210,29210,Plouvorn,PLOUVORN,-4.022182287739937,48.57688415615175,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:13:02.039083,,,1943-01-01,,,,,
