id,code,nom,nom_norm,lon,lat,is_irisee,arrondissement_code,arrondissement_nom,type,grd_quart_code,grd_quart_nom,in_ctu,commune_id,date,is_main
554570000,554570000,Saint-Hilaire-en-Woëvre,SAINT HILAIRE EN WOEVRE,5.706214317923645,49.07488437120818,f,55457,Saint-Hilaire-en-Woëvre,C,5545700,,f,55457,2025-06-26 23:18:19.365065,t
576310102,576310102,Himmelsberg,HIMMELSBERG,7.0538649706297445,49.10769510393781,t,57631,Sarreguemines,A,5763101,Sarreguemines,f,57631,2025-06-26 23:18:19.401695,f
595070201,595070201,Cité Jardin 1,CITE JARDIN 1,3.08598017747097,50.602225562869755,t,59507,Ronchin,A,5950702,Grand Quartier 2,f,59507,2025-06-26 23:18:19.45538,t
577480000,577480000,Wittring,WITTRING,7.130414938311631,49.05332916641356,f,57748,Wittring,C,5774800,,f,57748,2025-06-26 23:18:19.407987,t
591390102,591390102,Centre 1,CENTRE 1,3.4197963047690636,50.12948303273952,t,59139,Caudry,A,5913901,Caudry,f,59139,2025-06-26 23:18:19.427983,f
577140000,577140000,Haute-Vigneulles,HAUTE VIGNEULLES,6.556015726944862,49.09555813991387,f,57714,Haute-Vigneulles,C,5771400,,f,57714,2025-06-26 23:18:19.406983,t
592190000,592190000,Estrun,ESTRUN,3.2943218014164186,50.24430435580156,f,59219,Estrun,C,5921900,,f,59219,2025-06-26 23:18:19.429983,t
595010000,595010000,Rieulay,RIEULAY,3.2652104722889974,50.387410536484175,f,59501,Rieulay,C,5950100,,f,59501,2025-06-26 23:18:19.454383,t
576120000,576120000,Saint-Hubert,SAINT HUBERT,6.3618552077811525,49.23076748149371,f,57612,Saint-Hubert,C,5761200,,f,57612,2025-06-26 23:18:19.401695,t
582670000,582670000,Saint-Saulge,SAINT SAULGE,3.5190199378926263,47.101707711855234,f,58267,Saint-Saulge,C,5826700,,f,58267,2025-06-26 23:18:19.414985,t
576710000,576710000,Thimonville,THIMONVILLE,6.393257410119144,48.94483494586668,f,57671,Thimonville,C,5767100,,f,57671,2025-06-26 23:18:19.403988,t
580630000,580630000,Château-Chinon (Campagne),CHATEAU CHINON (CAMPAGNE),3.9408139098316015,47.056034184389695,f,58063,Château-Chinon (Campagne),C,5806300,,f,58063,2025-06-26 23:18:19.409986,t
590660000,590660000,Bérelles,BERELLES,4.104611959390971,50.21374036695627,f,59066,Bérelles,C,5906600,,f,59066,2025-06-26 23:18:19.422983,t
591020000,591020000,Boussières-en-Cambrésis,BOUSSIERES EN CAMBRESIS,3.3720544852030008,50.16414698230725,f,59102,Boussières-en-Cambrésis,C,5910200,,f,59102,2025-06-26 23:18:19.425989,t
576020000,576020000,Rurange-lès-Thionville,RURANGE LES THIONVILLE,6.235322708842714,49.26961210353763,f,57602,Rurange-lès-Thionville,C,5760200,,f,57602,2025-06-26 23:18:19.400972,t
590090305,590090305,Les Moulins,LES MOULINS,3.1465694279337204,50.642586858912566,t,59009,Villeneuve-d'Ascq,C,5900903,Cousinerie,f,59009,2025-06-26 23:18:19.417983,f
576720115,576720115,Beauregard,BEAUREGARD,6.157030890245714,49.34756147288369,t,57672,Thionville,A,5767201,Thionville,f,57672,2025-06-26 23:18:19.404987,f
593560000,593560000,Lompret,LOMPRET,2.995257564247537,50.6640430519445,f,59356,Lompret,C,5935600,,f,59356,2025-06-26 23:18:19.443987,t
580950101,580950101,Centre Ville et Faubourg d'Allier Rive Loire,CENTRE VILLE ET FAUBOURG D ALLIER RIVE LOIRE,3.4636302546628923,46.82559772499516,t,58095,Decize,A,5809501,Decize,f,58095,2025-06-26 23:18:19.410985,t
591520201,591520201,L'Apothicaire,L APOTHICAIRE,3.0113488601086176,50.758886987942034,t,59152,Comines,A,5915202,Grand Quartier 2,f,59152,2025-06-26 23:18:19.428986,t
593600102,593600102,Parc du Château,PARC DU CHATEAU,3.0212836792777504,50.61494280827264,t,59360,Loos,A,5936001,Centre,f,59360,2025-06-26 23:18:19.444988,f
593920503,593920503,Faubourg de Valenciennnes,FAUBOURG DE VALENCIENNNES,3.9595004561330067,50.2835480918842,t,59392,Maubeuge,A,5939205,Grand Quartier 5,f,59392,2025-06-26 23:18:19.450383,f
581720000,581720000,Montambert,MONTAMBERT,3.6838199766667605,46.770776065554244,f,58172,Montambert,C,5817200,,f,58172,2025-06-26 23:18:19.413989,t
590720000,590720000,Bersillies,BERSILLIES,3.996247449633905,50.3248200470495,f,59072,Bersillies,C,5907200,,f,59072,2025-06-26 23:18:19.424,t
593900000,593900000,Masny,MASNY,3.195476239947564,50.34101696457627,f,59390,Masny,C,5939000,,f,59390,2025-06-26 23:18:19.449376,t
591000000,591000000,Bousignies,BOUSIGNIES,3.3557133638565597,50.429786433808275,f,59100,Bousignies,C,5910000,,f,59100,2025-06-26 23:18:19.424989,t
581650000,581650000,Metz-le-Comte,METZ LE COMTE,3.6358143683496142,47.39300154026395,f,58165,Metz-le-Comte,C,5816500,,f,58165,2025-06-26 23:18:19.411988,t
590170201,590170201,Bizet 1,BIZET 1,2.8859029873902267,50.70221789453765,t,59017,Armentières,A,5901702,Bizet,f,59017,2025-06-26 23:18:19.418983,f
576860000,576860000,Vahl-lès-Faulquemont,VAHL LES FAULQUEMONT,6.630259372273879,49.02237054080214,f,57686,Vahl-lès-Faulquemont,C,5768600,,f,57686,2025-06-26 23:18:19.405987,t
592590000,592590000,Ghissignies,GHISSIGNIES,3.6172098188675115,50.22787315569304,f,59259,Ghissignies,C,5925900,,f,59259,2025-06-26 23:18:19.430986,t
582910000,582910000,Thianges,THIANGES,3.4915472130425522,46.911941146310994,f,58291,Thianges,C,5829100,,f,58291,2025-06-26 23:18:19.415984,t
590510102,590510102,Nord,NORD,2.810445841967863,50.542403590608444,t,59051,La Bassée,A,5905101,La Bassée,f,59051,2025-06-26 23:18:19.421983,t
593500201,593500201,Vieux Lille 1,VIEUX LILLE 1,3.0543390292434904,50.64792065407423,t,59350,Lille,A,5935002,Vieux Lille,f,59350,2025-06-26 23:18:19.437983,f
593500204,593500204,Vieux Lille 4,VIEUX LILLE 4,3.0570875518699028,50.63859239618522,t,59350,Lille,A,5935002,Vieux Lille,f,59350,2025-06-26 23:18:19.437983,f
593500206,593500206,Vieux Lille 6,VIEUX LILLE 6,3.057051134671129,50.64166691064966,t,59350,Lille,A,5935002,Vieux Lille,f,59350,2025-06-26 23:18:19.438986,f
576540000,576540000,Silly-sur-Nied,SILLY SUR NIED,6.36736216971854,49.12246489410099,f,57654,Silly-sur-Nied,C,5765400,,f,57654,2025-06-26 23:18:19.402978,t
591832001,591832001,Fort-Mardyck Ouest,FORT MARDYCK OUEST,2.301447214132802,51.0306036129783,t,59183,Dunkerque,A,5918320,Fort-Mardyck,f,59183,2025-06-26 23:18:19.429983,f
